"","network","species","ranked_degree","ranked_nestedness_contribution"
"1","M_PL_001.csv","acaena pinn",0.150602409638554,0
"2","M_PL_001.csv","adesmia aconcaguensis",0.783132530120482,0.0120481927710843
"3","M_PL_001.csv","adesmia brachy",0.692771084337349,0.0240963855421687
"4","M_PL_001.csv","adesmia conferta",0.951807228915663,0.036144578313253
"5","M_PL_001.csv","adesmia exilis",0.5,0.0481927710843374
"6","M_PL_001.csv","adesmia montana",0.150602409638554,0.0602409638554217
"7","M_PL_001.csv","adesmia radicifolia",0.903614457831325,0.072289156626506
"8","M_PL_001.csv","alstroemeria pallida",0.692771084337349,0.0843373493975904
"9","M_PL_001.csv","anarthrophyllum cumingii",0.614457831325301,0.0963855421686747
"10","M_PL_001.csv","asteriscium aemocarpon",0.36144578313253,0.108433734939759
"11","M_PL_001.csv","astragalus curvicaulis",0.921686746987952,0.120481927710843
"12","M_PL_001.csv","astragalus sp1 m_pl_001",0.692771084337349,0.132530120481928
"13","M_PL_001.csv","barneoudia chilensis",0.150602409638554,0.144578313253012
"14","M_PL_001.csv","berberis empetrifolia",0.783132530120482,0.156626506024096
"15","M_PL_001.csv","berberis montana",0.36144578313253,0.168674698795181
"16","M_PL_001.csv","bowlesia tropaeolifolia",0.5,0.180722891566265
"17","M_PL_001.csv","calandrinia affinis",0.951807228915663,0.192771084337349
"18","M_PL_001.csv","calandrinia uspallatensis",0.783132530120482,0.204819277108434
"19","M_PL_001.csv","calceolaria arachnoidea",0.150602409638554,0.216867469879518
"20","M_PL_001.csv","calceolaria biflora",0.150602409638554,0.228915662650602
"21","M_PL_001.csv","calceolaria indet",0.150602409638554,0.240963855421687
"22","M_PL_001.csv","calceolaria montana",0.5,0.253012048192771
"23","M_PL_001.csv","cardamine nivalis",0.150602409638554,0.265060240963855
"24","M_PL_001.csv","cerastium arvense",0.783132530120482,0.27710843373494
"25","M_PL_001.csv","chaetanthera euphrasioides",0.921686746987952,0.289156626506024
"26","M_PL_001.csv","chaetanthera microphylla",0.5,0.301204819277108
"27","M_PL_001.csv","chuquiraga oppositifolia",0.849397590361446,0.313253012048193
"28","M_PL_001.csv","clarkia tenella",0.150602409638554,0.325301204819277
"29","M_PL_001.csv","collomia biflora",0.150602409638554,0.337349397590361
"30","M_PL_001.csv","cynoglossum sp1 m_pl_001",0.150602409638554,0.349397590361446
"31","M_PL_001.csv","erodium cicutarium",0.36144578313253,0.36144578313253
"32","M_PL_001.csv","euphorbia portulacoides",0.692771084337349,0.373493975903614
"33","M_PL_001.csv","haplopappus chysanthemifolius",0.5,0.385542168674699
"34","M_PL_001.csv","haplopappus sericeus",0.783132530120482,0.397590361445783
"35","M_PL_001.csv","hippeastrum uni",0.150602409638554,0.409638554216867
"36","M_PL_001.csv","hypochoeris sp1 m_pl_001",0.783132530120482,0.421686746987952
"37","M_PL_001.csv","lathyrus subandinus",0.150602409638554,0.433734939759036
"38","M_PL_001.csv","lepidium suffruticosum",0.150602409638554,0.44578313253012
"39","M_PL_001.csv","leuceria landbeckii",0.36144578313253,0.457831325301205
"40","M_PL_001.csv","leucocoryne ixioides",0.150602409638554,0.469879518072289
"41","M_PL_001.csv","leucocoryne pauciflora",0.5,0.481927710843373
"42","M_PL_001.csv","loasa heterophylla",0.614457831325301,0.493975903614458
"43","M_PL_001.csv","loasa sigmoidea",0.150602409638554,0.506024096385542
"44","M_PL_001.csv","lupinus microcarpus",0.150602409638554,0.518072289156627
"45","M_PL_001.csv","madia sativa",0.692771084337349,0.530120481927711
"46","M_PL_001.csv","malesherbia linearifolius",0.150602409638554,0.542168674698795
"47","M_PL_001.csv","mulinum spinosum",0.885542168674699,0.55421686746988
"48","M_PL_001.csv","mustisia acerosa",0.5,0.566265060240964
"49","M_PL_001.csv","mustisia sinuata",0.783132530120482,0.578313253012048
"50","M_PL_001.csv","mustisia subulata",0.5,0.590361445783133
"51","M_PL_001.csv","nardophyllum lanatum",0.36144578313253,0.602409638554217
"52","M_PL_001.csv","nassauvia heterophylla",0.692771084337349,0.614457831325301
"53","M_PL_001.csv","nothoscordum andinum",0.150602409638554,0.626506024096386
"54","M_PL_001.csv","oenothera acaulis",0.150602409638554,0.63855421686747
"55","M_PL_001.csv","oxalis cinerea",0.5,0.650602409638554
"56","M_PL_001.csv","oxalis geminata",0.5,0.662650602409639
"57","M_PL_001.csv","oxalis sp1 m_pl_001",0.5,0.674698795180723
"58","M_PL_001.csv","perezia carthamoides",0.692771084337349,0.686746987951807
"59","M_PL_001.csv","phacelia secunda",1,0.698795180722892
"60","M_PL_001.csv","quinchamalium chilensis",0.614457831325301,0.710843373493976
"61","M_PL_001.csv","rhodophiala montana",0.36144578313253,0.72289156626506
"62","M_PL_001.csv","salpiglossus sp1 m_pl_001",0.150602409638554,0.734939759036145
"63","M_PL_001.csv","sanicula graveolens",0.614457831325301,0.746987951807229
"64","M_PL_001.csv","schizanthus grahamii",0.5,0.759036144578313
"65","M_PL_001.csv","scypanthus elegans",0.849397590361446,0.771084337349398
"66","M_PL_001.csv","senecio bustillosianus",0.987951807228916,0.783132530120482
"67","M_PL_001.csv","senecio erucaeformis",0.951807228915663,0.795180722891566
"68","M_PL_001.csv","senecio francisci",0.849397590361446,0.807228915662651
"69","M_PL_001.csv","senecio lithostaurus",0.5,0.819277108433735
"70","M_PL_001.csv","sisyrinchium arenarium",0.885542168674699,0.831325301204819
"71","M_PL_001.csv","sisyrinchium junceum",0.692771084337349,0.843373493975904
"72","M_PL_001.csv","sisyrinchium philippii",0.614457831325301,0.855421686746988
"73","M_PL_001.csv","solanum tomatillo",0.150602409638554,0.867469879518072
"74","M_PL_001.csv","solenomelus sisyrinchium",0.150602409638554,0.879518072289157
"75","M_PL_001.csv","stachys albi",0.975903614457831,0.891566265060241
"76","M_PL_001.csv","tetraglochin alatum",0.150602409638554,0.903614457831325
"77","M_PL_001.csv","trichocereus chiloensis",0.36144578313253,0.91566265060241
"78","M_PL_001.csv","tristagma sessile",0.150602409638554,0.927710843373494
"79","M_PL_001.csv","tropaeolum polyph",0.150602409638554,0.939759036144578
"80","M_PL_001.csv","tropaeolum sessilifolium",0.36144578313253,0.951807228915663
"81","M_PL_001.csv","tropaeolum tricolor",0.150602409638554,0.963855421686747
"82","M_PL_001.csv","valeriana gracileps",0.5,0.975903614457831
"83","M_PL_001.csv","verbena scoparia",0.849397590361446,0.987951807228916
"84","M_PL_001.csv","viviania marifolia",0.36144578313253,1
"85","M_PL_002.csv","acaena pinnatifida",0.107142857142857,0
"86","M_PL_002.csv","anarthrophyllum cumingii",0.642857142857143,0.0238095238095238
"87","M_PL_002.csv","anarthrophyllum gayanum",0.642857142857143,0.0476190476190476
"88","M_PL_002.csv","astragalus curvicaulis",0.869047619047619,0.0714285714285714
"89","M_PL_002.csv","azorella bolacina",0.452380952380952,0.0952380952380952
"90","M_PL_002.csv","azorella monantha",0.642857142857143,0.119047619047619
"91","M_PL_002.csv","berberis empetrifolia",0.523809523809524,0.142857142857143
"92","M_PL_002.csv","calandrinia affinis",0.976190476190476,0.166666666666667
"93","M_PL_002.csv","calandrinia dianthoides",0.107142857142857,0.19047619047619
"94","M_PL_002.csv","calandrinia sericea",0.321428571428571,0.214285714285714
"95","M_PL_002.csv","calceolaria arachnoides",0.107142857142857,0.238095238095238
"96","M_PL_002.csv","calceolaria biflora",0.321428571428571,0.261904761904762
"97","M_PL_002.csv","cardamine nivalis",0.107142857142857,0.285714285714286
"98","M_PL_002.csv","cerastium arvense",0.869047619047619,0.30952380952381
"99","M_PL_002.csv","cerastium montioides",0.321428571428571,0.333333333333333
"100","M_PL_002.csv","chaetanthera apiculata",0.107142857142857,0.357142857142857
"101","M_PL_002.csv","chaetanthera euphrasioides",0.869047619047619,0.380952380952381
"102","M_PL_002.csv","chaetanthera pusilla",0.452380952380952,0.404761904761905
"103","M_PL_002.csv","chuquiraga oppositifolia",0.773809523809524,0.428571428571429
"104","M_PL_002.csv","discaria nana",0.773809523809524,0.452380952380952
"105","M_PL_002.csv","erigeron andicola",0.107142857142857,0.476190476190476
"106","M_PL_002.csv","euphorbia portulacoides",0.642857142857143,0.5
"107","M_PL_002.csv","laretia acaulis",0.773809523809524,0.523809523809524
"108","M_PL_002.csv","loasa caespitosa",0.642857142857143,0.547619047619048
"109","M_PL_002.csv","mutisia sinuata",0.321428571428571,0.571428571428571
"110","M_PL_002.csv","nassauvia axillaris",0.523809523809524,0.595238095238095
"111","M_PL_002.csv","nassauvia heterophylla",0.642857142857143,0.619047619047619
"112","M_PL_002.csv","nassauvia pungens",0.107142857142857,0.642857142857143
"113","M_PL_002.csv","nothoscordum andinum",0.107142857142857,0.666666666666667
"114","M_PL_002.csv","oxalis cinerea",0.321428571428571,0.69047619047619
"115","M_PL_002.csv","oxalis compacta",0.952380952380952,0.714285714285714
"116","M_PL_002.csv","oxalis geminata",0.452380952380952,0.738095238095238
"117","M_PL_002.csv","ranunculus peduncularis",0.321428571428571,0.761904761904762
"118","M_PL_002.csv","sanicula graveolens",0.523809523809524,0.785714285714286
"119","M_PL_002.csv","senecio bustillosianus",0.869047619047619,0.80952380952381
"120","M_PL_002.csv","senecio erucaeformis",1,0.833333333333333
"121","M_PL_002.csv","senecio francisci",0.773809523809524,0.857142857142857
"122","M_PL_002.csv","senecio sp1 m_pl_002",0.928571428571429,0.880952380952381
"123","M_PL_002.csv","stenodraba stenophylla",0.321428571428571,0.904761904761905
"124","M_PL_002.csv","tristagma bivalve",0.107142857142857,0.928571428571429
"125","M_PL_002.csv","tropaeolum polyph",0.642857142857143,0.952380952380952
"126","M_PL_002.csv","viola philippii",0.107142857142857,0.976190476190476
"127","M_PL_002.csv","werneria pygmaea",0.321428571428571,1
"128","M_PL_003.csv","acaena pinnatifida",0.242857142857143,0
"129","M_PL_003.csv","adesmia capitellata",0.585714285714286,0.0285714285714286
"130","M_PL_003.csv","adesmia glomerula",0.585714285714286,0.0571428571428571
"131","M_PL_003.csv","azorella madreporica",0.928571428571429,0.0857142857142857
"132","M_PL_003.csv","caiophora coronata",0.728571428571429,0.114285714285714
"133","M_PL_003.csv","calandrinia affinis",0.242857142857143,0.142857142857143
"134","M_PL_003.csv","calandrinia caespitosa",0.242857142857143,0.171428571428571
"135","M_PL_003.csv","calandrinia occulta",0.242857142857143,0.2
"136","M_PL_003.csv","calandrinia picta",0.242857142857143,0.228571428571429
"137","M_PL_003.csv","calandrinia sericea",0.242857142857143,0.257142857142857
"138","M_PL_003.csv","cardamine nivalis",0.242857142857143,0.285714285714286
"139","M_PL_003.csv","chaetanthera flabellata",0.242857142857143,0.314285714285714
"140","M_PL_003.csv","chaetanthera lycopodioides",0.585714285714286,0.342857142857143
"141","M_PL_003.csv","draba gilliesii",0.728571428571429,0.371428571428571
"142","M_PL_003.csv","draba tenuis",0.842857142857143,0.4
"143","M_PL_003.csv","erigeron andicola",0.242857142857143,0.428571428571429
"144","M_PL_003.csv","junellia uniflora",0.728571428571429,0.457142857142857
"145","M_PL_003.csv","laretia acaulis",0.842857142857143,0.485714285714286
"146","M_PL_003.csv","leuceria salina",0.242857142857143,0.514285714285714
"147","M_PL_003.csv","loasa caespitosa",0.585714285714286,0.542857142857143
"148","M_PL_003.csv","nassauvia lagascae",0.842857142857143,0.571428571428571
"149","M_PL_003.csv","nassauvia pinnigera",0.242857142857143,0.6
"150","M_PL_003.csv","nassauvia pungens",0.585714285714286,0.628571428571429
"151","M_PL_003.csv","nototriche compacta",0.842857142857143,0.657142857142857
"152","M_PL_003.csv","oreopolus glacialis",0.728571428571429,0.685714285714286
"153","M_PL_003.csv","oxalis compacta",1,0.714285714285714
"154","M_PL_003.csv","oxalis sp1 m_pl_003",0.242857142857143,0.742857142857143
"155","M_PL_003.csv","phacelia secunda",0.971428571428571,0.771428571428571
"156","M_PL_003.csv","pozoa coriacea",0.242857142857143,0.8
"157","M_PL_003.csv","ranunculus peduncularis",0.242857142857143,0.828571428571429
"158","M_PL_003.csv","senecio francisci",0.242857142857143,0.857142857142857
"159","M_PL_003.csv","tropaeolum polyphyllum",0.928571428571429,0.885714285714286
"160","M_PL_003.csv","valeriana radicalis",0.242857142857143,0.914285714285714
"161","M_PL_003.csv","viola atropurpurea",0.585714285714286,0.942857142857143
"162","M_PL_003.csv","viola montagnei",0.242857142857143,0.971428571428571
"163","M_PL_003.csv","viola philippii",0.242857142857143,1
"164","M_PL_004.csv","aralia nudicaulis",0.727272727272727,0
"165","M_PL_004.csv","chimaphila umbellata",0.227272727272727,0.0909090909090909
"166","M_PL_004.csv","clintonia borealis",0.636363636363636,0.181818181818182
"167","M_PL_004.csv","cornus canadensis",1,0.272727272727273
"168","M_PL_004.csv","cypripedium acaule",0.0909090909090909,0.363636363636364
"169","M_PL_004.csv","linnaea borealis",0.818181818181818,0.454545454545455
"170","M_PL_004.csv","maianthemum canadense",0.909090909090909,0.545454545454545
"171","M_PL_004.csv","medeola virginiana",0,0.636363636363636
"172","M_PL_004.csv","oxalis montana",0.545454545454545,0.727272727272727
"173","M_PL_004.csv","pyrola secunda",0.409090909090909,0.818181818181818
"174","M_PL_004.csv","trientalis borealis",0.227272727272727,0.909090909090909
"175","M_PL_004.csv","trillium undulatum",0.409090909090909,1
"176","M_PL_005.csv","achillea millefolium",0.636842105263158,0
"177","M_PL_005.csv","aconitum columbianum",0.636842105263158,0.0105263157894737
"178","M_PL_005.csv","allium recurvatum",0.378947368421053,0.0210526315789474
"179","M_PL_005.csv","apocynum androsaemifolium",0.473684210526316,0.0315789473684211
"180","M_PL_005.csv","aquilegia brevistyla",0.0842105263157895,0.0421052631578947
"181","M_PL_005.csv","aquilegia coerulea",0.473684210526316,0.0526315789473684
"182","M_PL_005.csv","aragalus lamberti",0.0842105263157895,0.0631578947368421
"183","M_PL_005.csv","arctostaphylus uva-ursi",0.247368421052632,0.0736842105263158
"184","M_PL_005.csv","asclepias halli",0.636842105263158,0.0842105263157895
"185","M_PL_005.csv","asclepias speciosa",0.378947368421053,0.0947368421052632
"186","M_PL_005.csv","aster foliaceus",0.247368421052632,0.105263157894737
"187","M_PL_005.csv","astragalus drummondi",0.757894736842105,0.115789473684211
"188","M_PL_005.csv","calochortus gunnisoni",0.694736842105263,0.126315789473684
"189","M_PL_005.csv","caltha leptosepala",0.247368421052632,0.136842105263158
"190","M_PL_005.csv","campanula rotundifolia",0.636842105263158,0.147368421052632
"191","M_PL_005.csv","capnoides aureum",0.694736842105263,0.157894736842105
"192","M_PL_005.csv","carduus hookerianus",0.9,0.168421052631579
"193","M_PL_005.csv","castilleia miniata",0.721052631578947,0.178947368421053
"194","M_PL_005.csv","chamaenerium angustifolium",0.957894736842105,0.189473684210526
"195","M_PL_005.csv","chrysopsis villosa",0.378947368421053,0.2
"196","M_PL_005.csv","clementsia rhodantha",0.0842105263157895,0.210526315789474
"197","M_PL_005.csv","cleome serrulata",0.247368421052632,0.221052631578947
"198","M_PL_005.csv","dasyphora fruticosa",0.578947368421053,0.231578947368421
"199","M_PL_005.csv","delphinium scopulorum",0.757894736842105,0.242105263157895
"200","M_PL_005.csv","dodecatheon meadia",0.473684210526316,0.252631578947368
"201","M_PL_005.csv","draba aurea",0.0842105263157895,0.263157894736842
"202","M_PL_005.csv","drymocallis fissa",0.378947368421053,0.273684210526316
"203","M_PL_005.csv","elephantella groenlandica",0.247368421052632,0.284210526315789
"204","M_PL_005.csv","erigeron macranthus",0.884210526315789,0.294736842105263
"205","M_PL_005.csv","erigeron uniflorus",0.247368421052632,0.305263157894737
"206","M_PL_005.csv","erysimum asperum",0.0842105263157895,0.315789473684211
"207","M_PL_005.csv","fragaria vesca",0.378947368421053,0.326315789473684
"208","M_PL_005.csv","frasera speciosa",0.826315789473684,0.336842105263158
"209","M_PL_005.csv","galium boreale",0.247368421052632,0.347368421052632
"210","M_PL_005.csv","gentiana parryi",0.536842105263158,0.357894736842105
"211","M_PL_005.csv","geranium caespitosum",0.989473684210526,0.368421052631579
"212","M_PL_005.csv","geranium richardsoni",0.805263157894737,0.378947368421053
"213","M_PL_005.csv","geum rivale",0.0842105263157895,0.389473684210526
"214","M_PL_005.csv","gilia aggregata",0.247368421052632,0.4
"215","M_PL_005.csv","helianthus petiolaris",0.378947368421053,0.410526315789474
"216","M_PL_005.csv","heracleum lanatum",0.636842105263158,0.421052631578947
"217","M_PL_005.csv","holodiscus dumosus",0.863157894736842,0.431578947368421
"218","M_PL_005.csv","ibidium strictum",0.536842105263158,0.442105263157895
"219","M_PL_005.csv","iris missouriensis",0.536842105263158,0.452631578947368
"220","M_PL_005.csv","jamesia americana",0.757894736842105,0.463157894736842
"221","M_PL_005.csv","lappula floribunda",0.0842105263157895,0.473684210526316
"222","M_PL_005.csv","lathyrus ornatus",0.0842105263157895,0.484210526315789
"223","M_PL_005.csv","linaria vulgaris",0.536842105263158,0.494736842105263
"224","M_PL_005.csv","lithospermum canescens",0.0842105263157895,0.505263157894737
"225","M_PL_005.csv","malvastrum coccineum",0.247368421052632,0.515789473684211
