,plant_name,Alloscirtetica gayi,Alloscirtetica rufitarsis,Alloscirtetica sp1 M_PL_001,Andinus venustus,Anthidium adriani,Anthidium chilensis,Anthidium decapsilum,Anthidium funereum,Anthidium gayi,Anthophora incerta,Anthophora sp1 M_PL_001,Auca coctei,Bombus dahlbomii,Cadeguala occidentalis,Caenohalictus sp1 M_PL_001,Caenohalictus sp2 M_PL_001,Caenohalictus sp3 M_PL_001,Caupolicana dimidiata,Centris cineraria,Centris nigerrima,Centris sp1 M_PL_001,Chaetodemoticus chilensis,Chilicola sp1 M_PL_001,Chilicola sp2 M_PL_001,Chilimelissa sp1 M_PL_001,Coelioxys sp1 M_PL_001,Coleoptera sp4 M_PL_001,Colletes aruacariae,Colletes fulvipes,Colletes sp1 M_PL_001,Corynurus sp1 M_PL_001,Dasybasis sp1 M_PL_001,Dialictus sp1 M_PL_001,Diptera sp2 M_PL_001,Elaphroptera relicta,Eristalis tenax,Etcheverrius chilensis,Euryglostromyia philippii,Faunula leucoglene,Habromyia lipoflava,Hemicolletes ruizii,Hymenoptera sp1 M_PL_001,Hypodynerus sp1 M_PL_001,Hypodynerus sp2 M_PL_001,Hypodynerus sp3 M_PL_001,Hypsochila wagenknechti,Isepeolus niveiventris,Lepidoptera sp6 M_PL_001,Liphanthus sabulosus,Liphanthus sp1 M_PL_001,Liphanthus sp2 M_PL_001,Lithurgomma wagenknechti,Lyophlaeba lugubris,Megachile semirufa,Megachile sp1 M_PL_001,Megachile sp2 M_PL_001,Mesonychium gayi,Panur sp1 M_PL_001,Phulia nymphula,Prosopochaeta caliginosa,Prosopochaeta sp1 M_PL_001,Pseudolucia chilensis,Ruizantheda mutabilis,Ruiziella luctuosa,Scaeva melanostoma,Scaptia atra,Spathipalpus philippii,Svastrides melanura,Tapinotaspis caerulea,Tapinotaspis herbsti,Tatochila mercedis,Tatochila sp1 M_PL_001,Truphloechus bellus,Unidentified sp10 M_PL_001,Unidentified sp11 M_PL_001,Unidentified sp12 M_PL_001,Unidentified sp13 M_PL_001,Unidentified sp14 M_PL_001,Unidentified sp15 M_PL_001,Unidentified sp16 M_PL_001,Unidentified sp17 M_PL_001,Unidentified sp18 M_PL_001,Unidentified sp3 M_PL_001,Unidentified sp5 M_PL_001,Unidentified sp7 M_PL_001,Unidentified sp8 M_PL_001,Unidentified sp9 M_PL_001,Vibrissomyia sp1 M_PL_001,Villa arenarus,Villa durvillei,Villa flavicura,Villa gayi,Villa guttapennis,Villa hypoxantha,Villa semifuscata,Villa sp1 M_PL_001,Villa verdensis,Xanthocolletes incahuasi,Xanthocolletes sicheli,Xanthocolletes sp1 M_PL_001,Yramea lathonoides,is_exotic
0,acaena pinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,adesmia aconcaguensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,False
2,adesmia brachy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
3,adesmia conferta,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,adesmia exilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False
5,adesmia montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,adesmia radicifolia,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False
7,alstroemeria pallida,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,anarthrophyllum cumingii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
9,asteriscium aemocarpon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
