,plant_name,Andrena chrysosceles,Andrena pubescens,Anthophora plumipes,Apis mellifera,Bombus hortorum,Bombus lapidarius,Bombus pascuorum,Bombus pratorum,Bombus terrestris/lucorum,Calocoris bipunctatus,Cephus pygmaeus,Cheilosia bergenstammi,Empis livida,Episyrphus balteatus,Eriothrix rufomaculatus,Eristalis intricarius,Eristalis nemorum,Eristalis tenax,Helophilus sp1 M_PL_007,Lasioglossum calceatum,Lasioglossum villosulum,Lucillia sp1 M_PL_007,Lycaena phlaeas ,Maniola jurtina,Melanostoma sp1 M_PL_007,Meliscaeva sp1 M_PL_007,Panameria tenebrata,Platycheirus sp1 M_PL_007,Pollenia sp1 M_PL_007,Psithyrus vest,Sarcophagus sp1 M_PL_007,Scathophaga stercoraria,Sphaerophoria sp1 M_PL_007,Syrphus sp1 M_PL_007,Tropidia scitta,Volucella bombylans,is_exotic
0,centaurea nigra,0,0,0,14,1,469,35,8,8,36,0,0,11,8,0,0,0,3,2,0,0,0,0,110,0,0,0,2,0,12,0,0,0,7,0,0,False
1,cerastium fontanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,cirsium arvense,0,0,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,True
3,cirsium palustre,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,False
4,filipendula ulmaria,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,False
5,galium verum,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,False
6,hypochoeris radicata,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
7,lathyrus pratensis,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,leucanthemum vulgare,2,0,0,0,0,36,0,5,5,0,0,0,20,0,0,0,3,9,10,0,0,4,0,31,2,1,0,1,2,3,1,5,2,2,1,1,False
9,lotus corniculatus,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,orchis morio,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
11,primula veris,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,ranunculus acris,0,1,0,0,0,2,1,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,False
13,taraxacum officinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,False
14,trifolium dubium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,trifolium repens,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
