,plant_name,Anastoechus latifrons,Andrena wollestoni,Anthidium manicatum,Anthophora alluaudi,Anthrax anthrax,Apis mellifera,Bibio elmoi,Cephalodromia sp1 M_PL_008,Colletes dimidiatus,Cyclyrius webbianus,Dermasothes gracile,Drosophila sp1 M_PL_008,Eristalis tenax,Estheria simonyi,Eucera gracilipes,Euodynerus reflexus,Gasteruption sp1 M_PL_008,Geron hesperidon,Hyleaus canariensis,Lasioglossum actifrons,Lasioglossum chalcodes,Lasioglossum viride,Leptochilus eatoni,Linnaemyia soror,Lucilia sericata,Macroglossum stellatarum,Megachile canariensis,Melecta curvispina,Nyctia lugubris,Osmia canariensis,Peleteria ruficornis,Phylloscopus collybita,Scaeva albomaculata,Serinus canarius,Stomorhina lunata,Tachina canariensis,Tachysphex unicolor,Unidentified sp1 M_PL_008,is_exotic
0,adenocarpus viscosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
1,argyranthemum teneriffae,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
2,echium wildpretii,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,False
3,erysimum scoparium,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,False
4,mentha longifolia,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,False
5,nepeta teydea,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,pimpinella cumbrae,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
7,pterocephalus lasiospermus,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,False
8,scrophularia glabrata,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,False
9,spartocytisus supranubius,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
10,tolpis webbii,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
