,plant_name,Acamptocladius submontanus,Aclastus sp1 M_PL_009,Aclastus sp2 M_PL_009,Alliopsis glacialis,Allophorocera lapponica ,Alysiinae sp1 M_PL_009,Alysiinae sp2 M_PL_009,Alysiinae sp3 M_PL_009,Alysiinae sp4 M_PL_009,Alysiinae sp5 M_PL_009,Anarta sp1 M_PL_009,Anthomyiidae sp1 M_PL_009,Anthomyiidae sp2 M_PL_009,Anthomyiidae sp3 M_PL_009,Arpedium sp1 M_PL_009,Bellardia pubicornis,Boletina sp1 M_PL_009,Bombus alpinus,Bombus hyperboreus,Botanophila bidens,Bradysia giraudi,Bradysia sp1 M_PL_009,Bradysia sp2 M_PL_009,Bradysia sp3 M_PL_009,Chamaepsila morio,Chloropinae sp1 M_PL_009,Cidaria sp1 M_PL_009,Coenosia atritibia,Coenosia octopunctata,Corynoneura scutellata,Corynoptera refrigerata,Corynoptera sp1 M_PL_009,Corynoptera sp2 M_PL_009,Cotesia sp1 M_PL_009,Dasineura sp1 M_PL_009,Delia piliventris,Dolichopus plumipes,Egle minuta,Egle parva,Egle sp1 M_PL_009,Empis lucida,Fannia mollissima,Gimnomera dorsala,Heterotrissocladius subpilosus,Ichneumonidae sp1 M_PL_009,Ichneumonidae sp2 M_PL_009,Ichneumonidae sp3 M_PL_009,Ichneumonidae sp4 M_PL_009,Limnophilus sp1 M_PL_009,Limnophyes brachytomus,Limnophyes natalensis,Limnophyes ninae ,Limnophyes schnelli ,Lycoriella curvispina ,Lycoriella freyi,Lycoriella sp1 M_PL_009,Lycoriella sp2 M_PL_009,Megaselia cirriventris,Megaselia coei ,Megaselia digitalis,Megaselia diversa ,Megaselia giraudii,Megaselia groenlandica ,Megaselia pleuralis,Megaselia sordida,Megaselia sp1 M_PL_009,Micropsectra radialis,Micropsectra sp1 M_PL_009,Micropsectra sp2 M_PL_009,Mycomya fuscata,Noctuidae sp1 M_PL_009,Oliveridia tricornis ,Orthocentrinae sp1 M_PL_009,Paradelia sp1 M_PL_009,Parapiophila vulgaris,Pegomya haemorrhoum,Pegomya sp1 M_PL_009,Pegoplata aestiva,Phaonia alpicola,Phaonia lugubris,Phaonia subfuscinervis,Phygadeuon sp1 M_PL_009,Phyllolabis macroura,Phytomyza aquilonia,Platygaster sp1 M_PL_009,Platypalpus nigritarsis,Podabrus sp1 M_PL_009,Porizontini sp1 M_PL_009,Pseudosmittia oxoniana ,Pteromalidae sp1 M_PL_009,Pteromalidae sp2 M_PL_009,Rhamphomyia aethiops,Rhamphomyia morio,Rhamphomyia obscuripennis,Rhamphomyia reflexa,Rhaphium crassipes,Smittia betuletorum ,Smittia cf. aterrima,Smittia sp1 M_PL_009,Smittia sp2 M_PL_009,Spilagona nitidicauda,Spilogona alpica,Spilogona megastoma,Spilogona triangulifera,Stenomacrus sp1 M_PL_009,Tetrastichinae sp1 M_PL_009,Thricops cunctans,Thricops furcatus,Thricops hirtulus,Thricops nigritellus,Thricops rostratus,Trichosia truncata ,Urbicola sp1 M_PL_009,Xestommaster sp1 M_PL_009,Zaphne barbiventris,Zaphne frontata,Zaphne sp1 M_PL_009,Zaphne sp2 M_PL_009,is_exotic
0,antennaria alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,arabis alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,astragalus alpinus,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,bartsia alpina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,cassiope hypnoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,cassiope tetragona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,cerastium alpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,diapensia lapponica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,False
8,dryas octopetala,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False
9,parnassia palustris,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
