,plant_name,Aedes impiger,Aedes nigripes,Aphidius sp1 M_PL_010,Bombus sp1 M_PL_010,Brachypogon sp1 M_PL_010,Bradysia sp1 M_PL_010,Chironomus sp1 M_PL_010,Clossiana chariclea,Colias hecla,Cricotopus sp1 M_PL_010,Culicoides sp1 M_PL_010,Delia echinata,Drymeia groenlandica,Drymeia segnis,Entephria puncticeps,Eukiefferiella sp1 M_PL_010,Eupeodes curtus,Eupeodes nigroventris,Forcipomyia sp1 M_PL_010,Gonarcticus arcticus,Lasiopiophila pilosa,Limnophora sinuata,Limnophyes brachytomus,Limnophyes sp1 M_PL_010,Lophosceles minimus,Megaselia sp1 M_PL_010,Neoleria prominens,Nysius groenlandicus,Olethreutes inquitana,Olethreutes mengelana,Orthocladius sp1 M_PL_010,Paraphaenocladius sp1 M_PL_010,Parasyrphus tarsatus,Peleteria aenea,Phaonia bidentata,Phytomyza fuscula,Platycheirus carinatus,Platycheirus lundbecki,Plebeius glandon,Polia richardsoni,Procladius sp1 M_PL_010,Protophormia terraenovae,Pseudosmittia sp1 M_PL_010,Rhamphomyia filicauda,Rhamphomyia nigrita,Rheocricotopus sp1 M_PL_010,Scathophaga furcata,Scatopsciara sp1 M_PL_010,Smittia sp1 M_PL_010,Spilogona almqvistii,Spilogona arcticola,Spilogona deflorata,Spilogona denudata,Spilogona dorsata,Spilogona extensa,Spilogona malaisei,Spilogona melanosoma,Spilogona micans,Spilogona obsoleta,Spilogona sanctipauli,Spilogona tornensis,Spilogona tundrae,Stenomacrus sp1 M_PL_010,Stenomacrus sp2 M_PL_010,Stenomacrus sp3 M_PL_010,Sympistis lapponica,Sympistis zetterstedti,Syngrapha parilis,Unidentified sp1 M_PL_010,Unidentified sp2 M_PL_010,Unidentified sp3 M_PL_010,Unidentified sp4 M_PL_010,Unidentified sp5 M_PL_010,Unidentified sp6 M_PL_010,Unidentified sp7 M_PL_010,Zaphne frontata,is_exotic
0,arenaria pseudofrigida,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
1,armeria scabra,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
2,arnica angustifolia,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
3,cassiope tetragona,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False
4,cerastium arcticum,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
5,cochlearia groenlandica,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,draba arctica,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,draba lactea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,dryas octopetala,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False
9,epilobium latifolium,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
