,plant_name,Apis mellifera,Leptotes pirithous,Lucilia sp1 M_PL_011,Ornidia obesa,Phalantha phalantha,Phelsuma ornata,Protaetia aurichalcea,Syrphid sp1 M_PL_011,Unidentified sp1 M_PL_011,Unidentified sp2 M_PL_011,Unidentified sp3 M_PL_011,Unidentified sp4 M_PL_011,Xylocopa fenestrata,is_exotic
0,dracaena concinna,0,0,0,0,0,1,0,1,0,0,0,0,0,False
1,gastonia mauritiana,1,1,1,1,0,1,1,0,1,0,0,1,0,False
2,hibiscus tiliaceus,1,0,0,0,0,1,0,0,0,0,0,0,0,False
3,ipomoea macrantha,1,0,0,0,0,0,0,0,0,0,0,0,0,False
4,leucaena leucocephala,1,0,0,0,0,1,0,0,1,0,0,0,0,True
5,morinda citrifolia,1,1,0,0,0,1,0,0,0,0,0,0,0,False
6,passiflora suberosa,1,0,0,0,0,1,0,0,0,0,0,0,0,False
7,pemphis acidula,1,1,0,0,1,1,0,0,1,0,0,0,1,False
8,scaevola sericea,1,0,0,0,0,1,0,0,0,1,0,0,1,True
9,stachytapheta jamaicensis,1,1,0,0,1,0,0,1,1,0,1,0,0,False
10,suriana maritima,0,1,0,0,0,0,0,0,0,1,0,0,0,False
11,thespesia populnea,1,0,0,0,0,1,0,0,1,0,1,0,0,False
12,tourneortia argentea,1,0,0,0,0,1,0,1,0,0,0,1,0,False
13,turnera angustifolia,1,0,0,0,0,0,0,0,1,1,1,0,1,False
