,plant_name,Acmaeodera cisti ,Anaspis proteus ,Andrena sp1 M_PL_012,Anthophora alluaudi,Apis mellifera,Aricia cramera ,Artogeia rapae ,Attalus sp1 M_PL_012,Bibio elmoi,Bombus canariensis ,Brachypterus sp1 M_PL_012,Bruchidius wollastoni ,Chrysotoxum triarcuatum ,Cleora fortunata ,Colias crocea ,Cornutiplusia circumflexa ,Cyclyrius webbianus,Dasyphora albofasciata ,Delia platura ,Drosophila sp1 M_PL_012,Empis sp1 M_PL_012,Eristalis tenax,Gonepteryx cleopatra,Halictus sp1 M_PL_012,Heringia adpropinquans ,Lampides boeticus ,Lasioglossum chalcodes,Lasioglossum loetum ,Lycaena phlaeas ,Macroglossum stellatarum,Maniola jurtina,Meliscaeva auricollis ,Mordella israelsoni ,Myotropa florea ,Pandoriana pandora ,Pararge xiphioides ,Piezodorus punctipes ,Podalonia tydei ,Pontia daplidice ,Pseudogonia fasciata ,Sapromyza sp1 M_PL_012,Siphona sp1 M_PL_012,Sphecodes marginatus ,Sphecodes ruficrus ,Tachina canariensis,Thaumatomyia notata ,Thyreus histrionicus ,Tricimba humeralis ,Unidentified sp1 M_PL_012,Unidentified sp2 M_PL_012,Unidentified sp3 M_PL_012,Unidentified sp4 M_PL_012,Vanessa atalanta ,Vanessa cardui ,Vanessa indica ,is_exotic
0,adenocarpus foliosus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
1,ageretina adenophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,aichryson laxum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,anacyclus radiatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,False
4,andryala pinnatifida,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
5,appolonias barbujana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,argyranthemum broussonetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
7,carduus tenuiflorus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,cedronella canariensis,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,False
9,cistus monspeliensis,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
