,plant_name,Aglais urticae,Apis mellifera,Bombus lapidarius,Bombus muscorum,Bombus pascuorum,Bombus terrestris,Chrysotoxum bicinctum,Coleoptera sp1 M_PL_017,Coleoptera sp2 M_PL_017,Coleoptera sp3 M_PL_017,Coleoptera sp4 M_PL_017,Coleoptera sp5 M_PL_017,Coleoptera sp6 M_PL_017,Coleoptera sp7 M_PL_017,Diptera sp10 M_PL_017,Diptera sp11 M_PL_017,Diptera sp12 M_PL_017,Diptera sp13 M_PL_017,Diptera sp15 M_PL_017,Diptera sp16 M_PL_017,Diptera sp17 M_PL_017,Diptera sp18 M_PL_017,Diptera sp19 M_PL_017,Diptera sp20 M_PL_017,Diptera sp21 M_PL_017,Diptera sp22 M_PL_017,Diptera sp23 M_PL_017,Diptera sp24 M_PL_017,Diptera sp25 M_PL_017,Diptera sp26 M_PL_017,Diptera sp27 M_PL_017,Diptera sp28 M_PL_017,Diptera sp29 M_PL_017,Diptera sp30 M_PL_017,Diptera sp31 M_PL_017,Diptera sp32 M_PL_017,Diptera sp33 M_PL_017,Diptera sp34 M_PL_017,Diptera sp35 M_PL_017,Diptera sp37 M_PL_017,Diptera sp38 M_PL_017,Episyrphus arbustorum,Episyrphus balteatus,Eriothrix rufomaculata,Eristalis pertinax,Eristalis tenax,Helophilus pendulus,Helophilus trivittatus,Hymenoptera sp39 M_PL_017,Hymenoptera sp41 M_PL_017,Hymenoptera sp42 M_PL_017,Maniola jurtina,Melanostoma mellinum,Melanostoma scalare,Meliscaeva auricollis ,Metasyrphus corollae,Pieris brassicae,Platycheirus albimanus,Platycheirus clypeatus,Platycheirus scutatus,Polyommatus icarus ,Psithyrus sp1 M_PL_017,Pyonia tithonus,Rhingia campestris,Scaeva pyrastri,Scatophaga stercoraria,Sphaerophoria scripta,Symphyta sp1 M_PL_017,Syritta pipiens,Syrphus ribesii,Syrphus vitripennis.,Thymelicus sylvestris,Unidentified sp14 M_PL_017,Unidentified sp36 M_PL_017,Unidentified sp40 M_PL_017,Unidentified sp43 M_PL_017,Unidentified sp8 M_PL_017,Unidentified sp9 M_PL_017,Xanthogramma pedissequum,is_exotic
0,aethusa cynapium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,8,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
1,agrimonia eupatoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,False
2,angelica sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False
3,centaurea nigra,0,5,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,False
4,chamerion angustifolium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
5,clematis vitalba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,convolvulus arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
7,crepis capillaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,False
8,daucus carota,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,0,3,13,31,9,45,32,6,1,1,97,1,0,3,0,0,0,10,1,107,125,0,0,0,1,9,12,52,88,0,5,0,0,63,0,6,1,12,4,2,4,0,3,1,1,0,0,0,1,0,10,51,53,40,6,6,0,0,2,0,3,3,0,2,True
9,eupatorium cannabinum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,7,13,5,0,0,28,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,2,4,31,5,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,16,0,2,0,0,0,0,0,0,0,1,0,0,False
