,plant_name,Agrotis ipsilon ,Alloscirtetica antarctica ,Alloscirtetica sp1 M_PL_022,Anthidium chubuti,Astylus sp1 M_PL_022,Calliphoridae sp1 M_PL_022,Chilimelissa farellones ,Chilimelissa sp1 M_PL_022,Chironomidae sp1 M_PL_022,Chlorobrachycoma versicolor ,Coccinela anchoralis,Dasybaris chillan ,Dolichogyna sp1 M_PL_022,Geron sp1 M_PL_022,Hypodinerus sp1 M_PL_022,Hypodinerus sp2 M_PL_022,Ichneumonidae sp1 M_PL_022,Issoria lathonioides,Liphantus sp1 M_PL_022,Liphantus sp2 M_PL_022,Megachile sp1 M_PL_022,Megachile sp2 M_PL_022,Microcerella rusca ,Mosillus sp1 M_PL_022,Peridroma saucia ,Phulia sp1 M_PL_022,Phulia sp2 M_PL_022,Podagritus sp1 M_PL_022,Pseudoleucania nobilis ,Pseudoleucania sp1 M_PL_022,Pyrgus fides ,Spinoliella sp1 M_PL_022,Tamseuxoa ingoufii ,Thyridanthrax sp1 M_PL_022,Thyridanthrax sp2 M_PL_022,Thyridanthrax sp3 M_PL_022,Thyridanthrax sp4 M_PL_022,Thysanoptera sp1 M_PL_022,Tropidia notata,Unidentified sp1 M_PL_022,Unidentified sp2 M_PL_022,Unidentified sp3 M_PL_022,Unidentified sp4 M_PL_022,Unidentified sp5 M_PL_022,Unidentified sp6 M_PL_022,is_exotic
0,adesmia haemisphaerica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False
1,astragalus cruckshanksii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,astragalus nivicola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,azorella monanthos,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,False
4,calandrinia caespitosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,cerastium arvense,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
6,discaria nana,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,False
7,epilobium nivale ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,hypochoeris montana ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,jaborosa laciniata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,False
10,leuceria candidissima ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,loasa incurva ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,menonvillea hookeri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
13,montiopsis gilliesii ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,oxalis erythrorhiza,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,perezia pilifera,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
16,phacelia secunda,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,False
17,senecio looseri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,False
18,senecio tricephalus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
19,sisyrinchium junceum,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,tarasa humilis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
