,plant_name,Anarta richardsoni,Boloria improba ,Bombus polaris,Boreellus atriceps,Colias hecla,Colias nastes ,Eupogonomyia probilofensis ,Pogonomyiodes segnis ,Protocalliphora sp1 M_PL_024,Rhamphomyia sp1 M_PL_024,Spilogona aesturium ,Spilogona almquistii ,Spilogona dorsata,Spilogona hurdiana ,Spilogona latilamina,Spilogona melanosoma,Spilogona projecta ,Spilogona sanctipauli,is_exotic
0,arnica alpina,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,False
1,astragalus alpinus,0,0,15,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,False
2,caltha palustris ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,False
3,cerastium alpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False
4,dryas integrifolia,0,8,0,0,0,0,2,5,0,0,0,3,0,0,0,0,1,15,False
5,geum rossii ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
6,oxytropis arctica ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,papaver radicatum,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False
8,petasites frigidus ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,potentilla vahliana ,0,0,0,3,0,0,7,1,1,0,0,5,2,0,5,1,0,19,False
10,taraxacum sp1 m_pl_024,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,1,False
