,plant_name,Andrena arabis,Andrena carlini,Andrena ceanothi,Andrena dunningi,Andrena erigeniae,Andrena imatrix,Andrena nasonii,Andrena nigrihirta,Andrena personata,Andrena tridens,Andrena violae,Andrena ziziaeformis,Apis mellifera,Augochlora pura,Augochorella striata,Bombus bimaculatus,Bombus pennsylvanicus,Bombylius major,Ceratina calcarata,Dialictus abanci,Dialictus cressonii,Ephemoropsis laboriosa,Euchlo creusa lotta,Evylaeus macoupinensis,Gonia sp1 M_PL_025,Halictid sp1 M_PL_025,Hylema platura,Lassioglossum fuscipenne,Lycaenopsis argiolus,Nomada bishopii,Nomada luteola,Nomada perplexa,Nomada pygmaea,Nomada sayi,Nomada sp1 M_PL_025,Osmia atriventris,Osmia conjucta,Osmia lignaria,Osmia simillima,Osmia sp1 M_PL_025,Platycheirus obscurus,Toxomerous geminatus,Unidentified sp1 M_PL_025,Xylocopa virginica virginica,is_exotic
0,aesculus sylvatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,cardamine angustata angustata,2,7,0,1,2,0,2,16,0,4,0,0,5,3,0,5,1,79,0,0,0,0,2,0,2,0,0,1,0,0,0,2,1,0,2,0,1,2,0,1,4,0,2,1,False
2,claytonia virginica,0,1,1,0,378,1,3,13,0,2,0,1,4,1,1,0,0,418,3,7,5,0,5,4,37,22,16,0,2,0,0,6,8,0,32,0,7,3,0,4,10,4,0,1,False
3,erythronium umbilicatum,0,4,0,0,0,0,0,273,0,72,0,0,52,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,4,4,0,7,0,0,0,2,False
4,hepatica americana,0,1,0,0,0,0,0,27,0,9,0,0,4,0,0,2,0,20,0,5,0,0,0,5,4,1,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,False
5,podophyllum peltatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
6,sangiunaria canadensis,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,False
7,stellaria pubera,0,2,0,0,3,0,8,6,1,0,0,0,0,3,0,0,0,122,2,3,0,0,0,0,4,0,0,0,0,1,3,4,5,1,44,3,7,0,0,3,1,3,0,0,False
8,thalictrum thalictroides,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130,2,6,0,0,0,1,8,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,False
9,tiarella cordifolia collina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
10,trillium catesbei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
11,uvularia sessilifolia,0,0,0,0,0,0,0,15,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,viola papilionacea,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,False
