,plant_name,Agrius cingulatus,Amblycerus piurae,Ammophorus sp1 M_PL_026,Atteva hysginiella,Camponotus planus,Cardiocondyla nuda,Chrysopa sp1 M_PL_026,Coleoptera sp1 M_PL_026,Cricket sp1 M_PL_026,Darwinysius marginalis,Disclisioprocta stellata,Enyo lugubris delanoi,Euchrombius ocellus,Frankliniella sp1 M_PL_026,Goniozus sp1 M_PL_026,Heliothis cystiphora,Hemiptera sp3 M_PL_026,Hypasclera collenettei,Hypasclera sp1 M_PL_026,Lepidanthrax tinctus,Lepidoptera sp2 M_PL_026,Leptotes parrhasioides,Manduca rustica,Melipotis indomita,Metacanthus galapagensis,Monomorium floricola,Mordellistena galapagensis,Mythenteles sp1 M_PL_026,Naucles sp1 M_PL_026,Olcella sp1 M_PL_026,Ornebius erraticus,Orthoperus sp1 M_PL_026,Orthoptera sp11 M_PL_026,Oxacis sp1 M_PL_026,Paratrechina longicornis,Paratrechina vaga,Perepitragus fascipes,Phoebis sennae,Psedoplusia includens,Rhinacloa sp1 M_PL_026,Tapinoma melanocephalum,Tetramorium guineense,Toxomerus crockeri,Unidentified sp10 M_PL_026,Unidentified sp4 M_PL_026,Unidentified sp5 M_PL_026,Unidentified sp6 M_PL_026,Unidentified sp7 M_PL_026,Unidentified sp8 M_PL_026,Unidentified sp9 M_PL_026,Urbanus dorantes,Utetheisa galapagensis,Wasmannia auropunctata,Xylocopa darwini,is_exotic
0,abelmoschus manihot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
1,abutilon depauperatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
2,acacia insulae-iacobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,False
3,acacia macracantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
4,ageratum conyzoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
5,avicennia germinans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,bacopa monniera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
7,bastardia viscosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
8,bidens pilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
9,bougainvillea sp1 m_pl_026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
