,plant_name,Adoxia cheesemani,Adoxia obscura,Apsonia muscaria,Argirophenga sp1 M_PL_027,Argyrophenga janitae,Asilis pilicomis,Avibrissina isolata,Avibrissina sp1 M_PL_027,Calliphora quadrimaculata,Cheilosia fulvipes,Cheilosia sp1 M_PL_027,Coleoptera sp6 M_PL_027,Coleoptera sp7 M_PL_027,Coleoptera sp8 M_PL_027,Coleoptera sp9 M_PL_027,Cyphon sp1 M_PL_027,Erythronychia aliena,Eudonia sabulosella,Eulalia sp1 M_PL_027,Gracilicera setosa,Helophilus hochstetteri,Heteria appendiculata,Heteria plebeia,Hoplocneme sp1 M_PL_027,Lasioglossum sp1 M_PL_027,Leioproctus fulvescens,Leioproctus maritimus,Leioproctus sp1 M_PL_027,Leioproctus sp2 M_PL_027,Lepidomyia decessum,Lepidoptera sp2 M_PL_027,Mallochomacquartia setiventris,Medinella flavotemorata,Melangyna novaezelandiae,Melangyna ortas,Melangyna sp1 M_PL_027,Mordella detracta,Neotachina obtusa,Neotachina sp1 M_PL_027,Occisor sp1 M_PL_027,Occisor versutus,Pasiphila inductata,Peremptor modica,Pilinasica cingulata,Procissio sp1 M_PL_027,Proscissio cana,Proscissio kumarensis,Proscissio lateralis,Protohystricia huttoni,Protohystricia orientalis,Rhopalomerus sp1 M_PL_027,Unidentified sp1 M_PL_027,Unidentified sp3 M_PL_027,Unidentified sp4 M_PL_027,Unidentified sp5 M_PL_027,Veluta albicincta,Xylota montana,Zealandotachina nigrifemorata,Zealandotachina varipes,Zorion minutum,is_exotic
0,cassinia vauvilliersi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,False
1,celmisia armstrongii,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
2,celmisia coriacea,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
3,chrysanthemum leucanthemum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
4,craspedia uniflora,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,galium propinquum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
6,gentiana corymbifera,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
7,hebe odora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,False
8,helichrysum bellidioides,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,False
9,hoheria glabrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
