,plant_name,Apis mellifera,Bombus sp1 M_PL_036,Calliphora sp1 M_PL_036,Hymenoptera sp1 M_PL_036,Lepidoptera sp4 M_PL_036,Lucilia sp1 M_PL_036,Moth sp1 M_PL_036,Unidentified sp2 M_PL_036,Unidentified sp3 M_PL_036,Unidentified sp5 M_PL_036,Unidentified sp6 M_PL_036,Unidentified sp7 M_PL_036,is_exotic
0,azorina vidalii,1,1,1,1,1,0,0,1,1,0,0,1,False
1,beta maritima,0,0,0,0,0,0,0,0,1,0,0,0,False
2,crithmum maritimum,0,0,0,0,0,1,0,1,1,0,1,0,False
3,daucus carota,0,0,0,1,0,1,0,1,0,0,0,0,False
4,freesia sp1 m_pl_036,0,1,0,0,1,0,0,0,0,0,0,0,False
5,leucanthemum vulgare,0,0,0,1,0,0,0,1,0,1,0,0,False
6,lotus corniculatus,1,1,0,0,1,0,0,0,0,0,0,0,False
7,reseada luteola,1,0,0,1,0,0,0,0,0,0,0,0,False
8,silene vulgaris,0,0,0,1,0,0,0,0,1,0,0,0,False
9,solidago sempervirens,0,0,0,1,0,0,1,0,0,0,0,0,False
