,plant_name,Apocrita sp1 M_PL_037,Bombus lapidarius,Bombus lucorum,Bombus pascuorum,Bombus terrestris,Ceuthorrhynchus assimilis ,Chrysomela fastuosa,Diptera sp13 M_PL_037,Eoseristalis horticola,Episyrphus balteatus,Epuraea depressa Illiger,Eumerus tuberculatus ,Leptura rubra,Melanostoma scalare,Meligethes sp1 M_PL_037,Mesapamea secalis,Nemophora degeerella,Olibrus aeneus ,Pieris napi,Psithyrus bohemicus,Scaeva pyrastri,Strangalia maculata,Syrphus ribesii,Syrphus vitripennis ,Thymelicus sylvestris,Unidentified sp1 M_PL_037,Unidentified sp10 M_PL_037,Unidentified sp11 M_PL_037,Unidentified sp12 M_PL_037,Unidentified sp14 M_PL_037,Unidentified sp15 M_PL_037,Unidentified sp2 M_PL_037,Unidentified sp3 M_PL_037,Unidentified sp4 M_PL_037,Unidentified sp5 M_PL_037,Unidentified sp6 M_PL_037,Unidentified sp7 M_PL_037,Unidentified sp8 M_PL_037,Unidentified sp9 M_PL_037,Zygaena filipendulae ,is_exotic
0,allium scorodoprasum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,calystegia sepium,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,cirsium arvense,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,False
3,eupatorium cannabinum,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
4,juncus effusus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,False
5,lychnis flos-cuculi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False
6,silene dioica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
7,sonchus arvensis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,False
8,sonchus palustris,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False
9,stachys palustris,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False
