,plant_name,Amegilla canifrons,Amegilla quadrifasciata,Amegilla sp1 M_PL_058,Andrena vucana,Anthophora alluardii,Anthophora orotavae,Apis mellifera,Camponotus rufoglaucus,Coleoptera sp14 M_PL_058,Coleoptera sp15 M_PL_058,Coleoptera sp16 M_PL_058,Coleoptera sp2 M_PL_058,Coleoptera sp29 M_PL_058,Coleoptera sp32 M_PL_058,Coleoptera sp33 M_PL_058,Coleoptera sp7 M_PL_058,Cyclyrius webbianus,Diptera sp10 M_PL_058,Diptera sp12 M_PL_058,Diptera sp19 M_PL_058,Diptera sp20 M_PL_058,Diptera sp25 M_PL_058,Diptera sp26 M_PL_058,Diptera sp27 M_PL_058,Diptera sp28 M_PL_058,Eucera gracilipes,Hylaeus sp1 M_PL_058,Hymenoptera sp24 M_PL_058,Lasioglossum evylaeus,Lucilia sp1 M_PL_058,Macroglossum stellatarum,Sphecodes marginatus ,Tachina canariensis,Thysanoptera sp1 M_PL_058,Unidentified sp1 M_PL_058,Unidentified sp11 M_PL_058,Unidentified sp13 M_PL_058,Unidentified sp17 M_PL_058,Unidentified sp18 M_PL_058,Unidentified sp21 M_PL_058,Unidentified sp22 M_PL_058,Unidentified sp23 M_PL_058,Unidentified sp3 M_PL_058,Unidentified sp30 M_PL_058,Unidentified sp31 M_PL_058,Unidentified sp34 M_PL_058,Unidentified sp4 M_PL_058,Unidentified sp5 M_PL_058,Unidentified sp6 M_PL_058,Unidentified sp8 M_PL_058,Unidentified sp9 M_PL_058,is_exotic
0,argyranthemum frutescens,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,False
1,bituminaria bituminosa,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
2,ceballosia fruticosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
3,convolvulus floridus,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,False
4,echium aculeatum,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,echium plantagineum,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,euphorbia canariensis,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False
7,euphorbia obtusifolia,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,False
8,fagonia albiflora,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,galactites tomentosa,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
10,lavandula buchii,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
11,lotus glaucus,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,oxalis pes-caprae,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,False
13,plocama pendula,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,False
14,scandix pecten-veneris,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,sideritis argosphacelus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
16,sideritis nervosa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
