,plant_name,Adelpha abyla,Agapostemon sp1 M_PL_040,Aguna asander jasper,Anolis grahami,Anolis sagrei,Apis mellifera,Atlantea pantoni,Camponotus hannani,Camponotus subdepilis,Centris sp1 M_PL_040,Centris sp2 M_PL_040,Coereba flaveola ,Conotelus obscurus,Crematogaster steinheili,Dione vanillae insularis,Diptera sp1 M_PL_040,Dryas iulia delila,Euglossa jamaicensis,Euneornis campestris,Eurytides marcellinus,Heliconius charitonius simulator,Marpesia chiron,Mellisuga minima,Nesopsar nigerrimus,Papilio thersites,Paragymnetis lanius,Paraphrissopoda chrysostoma,Polistes sp1 M_PL_040,Sphex jamaicensis,Trochilus polytmus polytmus,Unidentified sp1 M_PL_040,Unidentified sp11 M_PL_040,Unidentified sp12 M_PL_040,Unidentified sp2 M_PL_040,Unidentified sp3 M_PL_040,Unidentified sp4 M_PL_040,Unidentified sp5 M_PL_040,Unidentified sp6 M_PL_040,Unidentified sp7 M_PL_040,Unidentified sp8 M_PL_040,Unidentified sp9 M_PL_040,Wasmannia auropunctata,Xylocopa sp1 M_PL_040,is_exotic
0,aechmea paniculigera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,blakea trinervia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,byrsonima sp1 m_pl_040,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,False
3,dendropanax arboreus ,3,0,14,0,0,44,2,0,0,0,0,2,0,0,2,0,43,0,0,2,38,4,12,0,11,0,0,0,2,11,0,0,0,0,10,57,0,1,10,0,0,0,0,False
4,dendropanax sp1 m_pl_040,0,0,1,11,0,22,0,0,0,14,0,1,0,0,0,0,0,0,0,7,0,3,0,0,0,1,3,0,50,0,0,0,0,0,15,10,1,0,1,0,0,0,0,False
5,guarea swartzii,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,impatiens walleriana,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,14,0,False
7,miconia sp1 m_pl_040,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,False
8,nectandra coriacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
9,passiflora sp1 m_pl_040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,False
