,plant_name,Halmenus cuspidatus,Lepidanthrax tinctus,Phoebis sennae,Unidentified sp1 M_PL_042,Unidentified sp2 M_PL_042,Xylocopa darwini,is_exotic
0,chiococa alba,1,1,0,0,0,1,False
1,cordia lutea,0,0,0,0,0,1,False
2,cordia revoluta,0,0,0,0,0,1,False
3,darwiniothamnus tenuifolius,1,1,0,0,0,1,False
4,jasminoserius thouarsii,0,0,0,0,0,1,False
5,lippia rosmarinifolia,0,0,0,0,0,1,False
6,opuntia echios,1,1,0,0,0,1,False
7,passiflora foetida,0,0,0,0,0,1,False
8,pectis tenuifolia,0,1,0,1,1,1,False
9,plumbago scandens,0,0,1,0,0,0,False
10,scalesia affinis,1,1,0,0,0,1,False
11,waltheria ovata,1,1,0,0,0,1,False
