,plant_name,Adscita statices,Apion aeneum,Apion flavipes,Apion hookeri ,Apion meliloti ,Apion rufirostre ,Apocrita sp1 M_PL_043,Bombus hortorum,Bombus lapidarius,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus ruderatus,Bombus soroeensis,Bombus terrestris,Byturus aestivus,Ceuthorrhynchus assimilis ,Ceutorrhynchus rugulosus ,Cheilosia albitarsis,Cheilosia impressa ,Cheilosia velutina ,Chrysogaster cemiteriorum,Clytus arietis,Coccinella septempunctata,Corticarina gibbosa ,Crambus pratella,Diptera sp1 M_PL_043,Enicmus transversus,Eoseristalis abusivus,Eoseristalis arbustorum,Episyrphus balteatus,Epuraea depressa ,Eristalinus sepulchralis,Eumerus tuberculatus ,Leptura rubra,Malachius viridis,Maniola jurtina,Melanostoma scalare,Meligethes sp1 M_PL_043,Meliscaeva cinctella,Miarus campanulae ,Miccotrogus picirostris ,Nemophora degeerella,Olibrus aeneus ,Oulema melanopus,Parasyrphus malinellus,Pieris napi,Polyommatus icarus ,Psithyrus campestris,Psithyrus rupestris,Sitona lineatus,Sphaerophoria menthastri,Sphaerophoria scripta,Sphaerophoria taeniata,Strangalia maculata,Strophosomus capitatus,Syrphus ribesii,Thymelicus sylvestris,Unidentified sp1 M_PL_043,Unidentified sp10 M_PL_043,Unidentified sp11 M_PL_043,Unidentified sp12 M_PL_043,Unidentified sp13 M_PL_043,Unidentified sp14 M_PL_043,Unidentified sp15 M_PL_043,Unidentified sp16 M_PL_043,Unidentified sp17 M_PL_043,Unidentified sp18 M_PL_043,Unidentified sp19 M_PL_043,Unidentified sp2 M_PL_043,Unidentified sp20 M_PL_043,Unidentified sp21 M_PL_043,Unidentified sp22 M_PL_043,Unidentified sp23 M_PL_043,Unidentified sp3 M_PL_043,Unidentified sp4 M_PL_043,Unidentified sp5 M_PL_043,Unidentified sp6 M_PL_043,Unidentified sp7 M_PL_043,Unidentified sp8 M_PL_043,Unidentified sp9 M_PL_043,Zygaena filipendulae ,is_exotic
0,achillea millefolium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,False
1,aegopodium podagraria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True
2,cerastium glomeratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
3,chaerophyllum temulentum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,False
4,chamomilla recutita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
5,chrysanthemum maximum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
6,cirsium arvense,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,False
7,cirsium vulgare,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,daucus carota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
9,echium vulgare,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,False
10,epilobium montanum,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
11,geranium robertianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
12,hypericum perforatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
13,lapsana communis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
14,malva sylvestris,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
