,plant_name,Acarina sp1 M_PL_045,Coccinella transversoguttata,Delia sp1 M_PL_045,Dolichopus sp1 M_PL_045,Eupeodes curtus,Eupeodes luniger,Lasiomma sp1 M_PL_045,Nysius groenlandicus,Pegomya sp1 M_PL_045,Platycheirus groenlandicus,Platycheirus hyperboreus,Platycheirus lundbecki,Protophormia terranovae,Sphaerophoria scripta,Spilogona sp1 M_PL_045,Sympsitis zetterstedtii,Thysanoptera sp1 M_PL_045,Unidentified sp1 M_PL_045,Unidentified sp2 M_PL_045,Unidentified sp3 M_PL_045,Unidentified sp4 M_PL_045,Unidentified sp5 M_PL_045,Unidentified sp6 M_PL_045,Unidentified sp7 M_PL_045,Unidentified sp8 M_PL_045,Unidentified sp9 M_PL_045,is_exotic
0,campanula gieseckiana,10,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,False
1,cassiope tetragona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
2,cerastium alpinum,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False
3,dryas integrifolia,0,0,0,0,2,1,1,2,1,0,2,2,0,1,1,0,3,6,1,4,0,0,0,0,0,1,False
4,epilobium latifolium,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,ledum palustre,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,1,0,0,0,0,False
6,pedicularis flammea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
7,polygonum viviparum,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,False
8,potentilla rubricaulis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,pyrola grandiflora,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,rhododendron lapponicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,False
11,salix sp1 m_pl_045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,False
12,saxifraga caespitosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
13,saxifraga tricuspidata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,45,1,1,0,0,0,1,0,0,False
14,silene acaulis,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,False
15,vaccinium uliginosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
16,viscaria alpina,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
