,plant_name,Andreana sp1 M_PL_046,Apis mellifera,Asilus sp1 M_PL_046,Bombus lapidarius,Bombus pascuorum,Bombus terrestris,Cetonia aurata,Coleoptera sp4 M_PL_046,Colias croceus,Diptera sp11 M_PL_046,Diptera sp12 M_PL_046,Diptera sp13 M_PL_046,Diptera sp15 M_PL_046,Diptera sp16 M_PL_046,Diptera sp17 M_PL_046,Diptera sp18 M_PL_046,Diptera sp19 M_PL_046,Diptera sp2 M_PL_046,Diptera sp21 M_PL_046,Diptera sp24 M_PL_046,Diptera sp25 M_PL_046,Diptera sp26 M_PL_046,Diptera sp5 M_PL_046,Diptera sp6 M_PL_046,Diptera sp7 M_PL_046,Diptera sp9 M_PL_046,Ichneumonidae 1,Inachis io,Lepidoptera sp14 M_PL_046,Lucilia sp1 M_PL_046,Meligethes sp1 M_PL_046,Meligethes sp2 M_PL_046,Musca sp1 M_PL_046,Pararge aegeria,Pieris sp1 M_PL_046,Rhynconycha sp1 M_PL_046,Unidentified sp1 M_PL_046,Unidentified sp10 M_PL_046,Unidentified sp20 M_PL_046,Unidentified sp22 M_PL_046,Unidentified sp23 M_PL_046,Unidentified sp3 M_PL_046,Unidentified sp8 M_PL_046,Vespula sp1 M_PL_046,is_exotic
0,angelica archangelica,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,False
1,anthriscus sylvestris,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,False
2,chamaenerium angustifolium,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,False
3,cirsium arvense,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,False
4,cirsium pratensis,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,False
5,epilobium hirsutum,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,False
6,lathyrus pratensis,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,False
7,ranunculus sp1 m_pl_046,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,False
8,rubus fruticosus,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,False
9,silene dioica,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False
10,stachys sylvatica,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,False
11,torilis japonica,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,False
12,trfolium sp1 m_pl_046,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,False
13,trifolium arvense,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,False
14,umbellifer sp1 m_pl_046,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,False
15,unidentified sp27 m_pl_046,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,False
