,plant_name,Amegilla canifrons,Amegilla quadrifasciata,Amegilla sp1 M_PL_050,Anthophora alluardii,Anthophora orotavae,Apis mellifera,Camponotus rufoglaucus,Coleoptera sp15 M_PL_050,Diptera sp18 M_PL_050,Diptera sp19 M_PL_050,Diptera sp20 M_PL_050,Diptera sp21 M_PL_050,Diptera sp4 M_PL_050,Diptera sp7 M_PL_050,Eucera gracilipes,Gallotia galloti,Hylaeus sp1 M_PL_050,Hymenoptera sp10 M_PL_050,Hymenoptera sp13 M_PL_050,Hymenoptera sp14 M_PL_050,Hymenoptera sp9 M_PL_050,Lasioglossum evylaeus,Lucilia sp1 M_PL_050,Sphecodes marginatus ,Thysanoptera sp17 M_PL_050,Unidentified sp1 M_PL_050,Unidentified sp11 M_PL_050,Unidentified sp12 M_PL_050,Unidentified sp16 M_PL_050,Unidentified sp2 M_PL_050,Unidentified sp22 M_PL_050,Unidentified sp3 M_PL_050,Unidentified sp5 M_PL_050,Unidentified sp6 M_PL_050,Unidentified sp8 M_PL_050,is_exotic
0,argyranthemum frutescencs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,False
1,ceballosia fruticosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False
2,convolvulus sp1 m_pl_050,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,False
3,echium aculeatum,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,echium bonnetii,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,euphorbia canariensis,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,False
6,euphorbia obtusifolia,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,False
7,fagonia albiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,lavandula buchii,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
9,lotus sp1 m_pl_050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,noechamaelea pulverulenta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,parolinea intermedia,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,False
12,periploca laevigata,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
13,plocama pendula,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
