,Reference_x,year,names,Reference_y,ID,source
0,1 Chile 101 84 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_001,weighted
1,1 Chile 101 84 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_002,weighted
2,1 Chile 101 84 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_003,weighted
3,2 Chile 64 43 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_001,weighted
4,2 Chile 64 43 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_002,weighted
5,2 Chile 64 43 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_003,weighted
6,3 Chile 25 36 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_001,weighted
7,3 Chile 25 36 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_002,weighted
8,3 Chile 25 36 0 Arroyo et al. (1982),1982,Arroyo,"Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.",M_PL_003,weighted
9,4 Canada 102 12 0 Barrett & Helenurm (1987),1987,Barrett,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",M_PL_004,binary
10,5 United States 275 96 1 Clements & Long (1923),1923,Clements,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",M_PL_005,weighted
11,6 United Kingdom 61 17 2 Dicks et al. (2002),2002,Dicks,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.",M_PL_006,binary
12,6 United Kingdom 61 17 2 Dicks et al. (2002),2002,Dicks,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.",M_PL_007,binary
13,7 United Kingdom 36 16 1 Dicks et al. (2002),2002,Dicks,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.",M_PL_006,binary
14,7 United Kingdom 36 16 1 Dicks et al. (2002),2002,Dicks,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.",M_PL_007,binary
15,8 Canary Islands (Spain) 38 11 0 Dupont et al. (2003),2003,Islands,,,
16,9 Sweden 118 24 0 Elberling & Olesen (1999),1999,Elberling,"Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323.",M_PL_009,weighted
17,10 Greenland 76 31 0 Elberling & Olesen (unpubl.),unknown,Elberling,Elberling & Olesen unpubl.,M_PL_010,weighted
18,11 Mauritius 13 14 2 Olesen et al. (2002),2002,Olesen,"Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192.",M_PL_011,weighted
19,12 Canary Islands (Spain) 55 29 0 Olesen (unpubl.),unknown,Islands,,,
20,13 South Africa 56 9 0 Ollerton et al. (2003),2003,Ollerton,"Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834.",M_PL_013,binary
21,14 Canada 81 29 0 Hocking (1968),1968,Hocking,"Hocking, B. 1968. Insect-flower associations in the high Arctic with special reference to nectar. Oikos 19:359-388.",M_PL_014,weighted
22,15 Greece 666 131 1 Petanidou (1991),1991,Petanidou,"Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.",M_PL_015,weighted
23,16 Spain 179 26 0 Herrera (1988),1988,Herrera,"Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287.",M_PL_016,weighted
24,17 United Kingdom 79 25 1 Memmott (1999),1999,Memmott,Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.,M_PL_017,binary
25,18 Denmark 105 39 6 Olesen (unpubl.),unknown,Olesen,Olesen unpubl.,M_PL_012,weighted
26,18 Denmark 105 39 6 Olesen (unpubl.),unknown,Olesen,Olesen unpubl.,M_PL_018,weighted
27,18 Denmark 105 39 6 Olesen (unpubl.),unknown,Olesen,Olesen unpubl.,M_PL_036,weighted
28,19 Australia 85 40 1 Inouye & Pyke (1988),1988,Inouye,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210.",M_PL_019,binary
29,20 Canada 91 20 0 Kevan (1970),1970,Kevan,"Kevan P. G. 1970. High Arctic insect-flower relations: The interrelationships of arthropods and flowers at Lake Hazen, Ellesmere Island, Northwest Territories, Canada. Ph.D. thesis, University of Alberta, Edmonton, 399 pp.",M_PL_020,weighted
30,21 Japan 677 91 1 Kato et al. (1990),1990,Kato,"Kato, M., Kakutani, T., Inoue, T. and Itino, T. (1990). Insect-flower relationship in the primary beech forest of Ashu, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contrib. Biol. Lab., Kyoto, Univ., 27, 309-375.",M_PL_021,weighted
31,22 Argentina 45 21 0 Medan et al. (2002),2002,Medan,"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.",M_PL_022,weighted
32,22 Argentina 45 21 0 Medan et al. (2002),2002,Medan,"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.",M_PL_023,weighted
33,23 Argentina 72 23 0 Medan et al. (2002),2002,Medan,"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.",M_PL_022,weighted
34,23 Argentina 72 23 0 Medan et al. (2002),2002,Medan,"Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.",M_PL_023,weighted
35,24 Canada 18 11 0 Mosquin & Martin (1967),1967,Mosquin,"Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.",M_PL_024,binary
36,"25 United States 44 13 0 Motten (1982, 1986)",1982,Motten,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",M_PL_025,binary
37,26 Galapagos Islands (Ecuador) 54 105 4 McMullen (1993),1993,Islands,,,
38,27 New Zealand 60 18 0 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.",M_PL_027,weighted
39,27 New Zealand 60 18 0 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.",M_PL_028,weighted
40,27 New Zealand 60 18 0 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.",M_PL_029,weighted
41,28 New Zealand 139 41 4 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.",M_PL_027,weighted
42,28 New Zealand 139 41 4 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.",M_PL_028,weighted
43,28 New Zealand 139 41 4 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.",M_PL_029,weighted
44,29 New Zealand 118 49 1 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.",M_PL_027,weighted
45,29 New Zealand 118 49 1 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.",M_PL_028,weighted
46,29 New Zealand 118 49 1 Primack (1983),1983,Primack,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.",M_PL_029,weighted
47,30 Venezuela 53 28 0 Ramirez & Brito (1992),1992,Ramirez,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",M_PL_030,weighted
48,31 Venezuela 49 48 0 Ramirez (1989),1989,Ramirez,"Ramirez, N. (1989). Biología de polinización en una comunidad arbustiva tropical de la alta Guyana Venezolana. Biotropica 21, 319-330.",M_PL_031,weighted
49,32 United States 33 7 0 Schemske et al. (1978),1978,Schemske,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",M_PL_032,weighted
50,33 Canada 34 13 0 Small (1976),1976,Small,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",M_PL_033,binary
51,34 Chile 128 26 0 Smith-Ramirez et al. (2005),2005,not found,,,
52,35 Jamaica 36 61 0 Percival (1974),1974,Percival,"Percival, M. (1974). Floral Ecology of Coastal Scrub in Southeast Jamaica. Biotropica, 6, 104-129.",M_PL_035,weighted
53,36 Azores (Portugal) 12 10 3 Olesen (unpubl.),unknown,Azores,,,
54,37 Denmark 40 10 2 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_037,weighted
55,37 Denmark 40 10 2 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_038,weighted
56,37 Denmark 40 10 2 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_043,weighted
57,38 Denmark 42 8 0 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_037,weighted
58,38 Denmark 42 8 0 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_038,weighted
